Date,apparent_temperature_max,daylight_hours,precipitation_hours
2023-01-01,51.0,9.3,3.0
2023-01-02,51.5,9.3,0.0
2023-01-03,52.3,9.3,3.0
2023-01-04,65.1,9.4,0.0
2023-01-05,46.7,9.4,0.0
2023-01-06,43.3,9.4,6.0
2023-01-07,35.6,9.4,0.0
2023-01-08,35.1,9.4,0.0
2023-01-09,35.4,9.4,0.0
2023-01-10,34.8,9.5,0.0
2023-01-11,31.3,9.5,0.0
2023-01-12,49.2,9.5,9.0
2023-01-13,51.0,9.5,3.0
2023-01-14,28.1,9.6,0.0
2023-01-15,27.8,9.6,0.0
2023-01-16,37.3,9.6,0.0
2023-01-17,38.5,9.6,0.0
2023-01-18,42.9,9.7,0.0
2023-01-19,38.0,9.7,15.0
2023-01-20,38.5,9.7,6.0
2023-01-21,34.2,9.7,0.0
2023-01-22,33.6,9.8,6.0
2023-01-23,31.7,9.8,18.0
2023-01-24,34.9,9.8,0.0
2023-01-25,46.3,9.9,9.0
2023-01-26,51.7,9.9,6.0
2023-01-27,34.7,9.9,0.0
2023-01-28,42.5,10.0,0.0
2023-01-29,46.7,10.0,0.0
2023-01-30,48.4,10.0,0.0
2023-01-31,43.2,10.1,6.0
2023-02-01,28.6,10.1,3.0
2023-02-02,28.9,10.2,0.0
2023-02-03,24.4,10.2,0.0
2023-02-04,15.3,10.2,0.0
2023-02-05,38.8,10.3,0.0
2023-02-06,41.5,10.3,0.0
2023-02-07,34.5,10.3,0.0
2023-02-08,44.9,10.4,0.0
2023-02-09,48.8,10.4,0.0
2023-02-10,49.6,10.5,0.0
2023-02-11,37.1,10.5,0.0
2023-02-12,41.8,10.5,0.0
2023-02-13,49.3,10.6,3.0
2023-02-14,46.3,10.6,0.0
2023-02-15,58.8,10.7,0.0
2023-02-16,65.9,10.7,3.0
2023-02-17,58.5,10.8,6.0
2023-02-18,33.4,10.8,0.0
2023-02-19,39.7,10.8,0.0
2023-02-20,53.3,10.9,0.0
2023-02-21,41.6,10.9,6.0
2023-02-22,38.8,11.0,6.0
2023-02-23,35.6,11.0,0.0
2023-02-24,38.7,11.1,0.0
2023-02-25,27.3,11.1,3.0
2023-02-26,41.2,11.1,0.0
2023-02-27,38.5,11.2,3.0
2023-02-28,31.0,11.2,12.0
2023-03-01,36.9,11.3,0.0
2023-03-02,46.6,11.3,0.0
2023-03-03,39.1,11.4,3.0
2023-03-04,36.2,11.4,9.0
2023-03-05,44.3,11.5,0.0
2023-03-06,42.9,11.5,0.0
2023-03-07,36.3,11.5,6.0
2023-03-08,36.0,11.6,0.0
2023-03-09,42.4,11.6,0.0
2023-03-10,38.5,11.7,3.0
2023-03-11,35.6,11.7,15.0
2023-03-12,41.8,11.8,0.0
2023-03-13,36.9,11.8,18.0
2023-03-14,28.3,11.9,18.0
2023-03-15,30.9,11.9,0.0
2023-03-16,51.1,12.0,0.0
2023-03-17,55.6,12.0,0.0
2023-03-18,51.5,12.0,3.0
2023-03-19,28.9,12.1,0.0
2023-03-20,42.5,12.1,0.0
2023-03-21,54.1,12.2,0.0
2023-03-22,55.0,12.2,0.0
2023-03-23,55.6,12.3,3.0
2023-03-24,50.4,12.3,0.0
2023-03-25,38.0,12.4,9.0
2023-03-26,53.5,12.4,0.0
2023-03-27,53.0,12.5,3.0
2023-03-28,44.7,12.5,0.0
2023-03-29,52.4,12.5,0.0
2023-03-30,35.8,12.6,3.0
2023-03-31,48.2,12.6,0.0
2023-04-01,63.5,12.7,3.0
2023-04-02,42.9,12.7,0.0
2023-04-03,50.9,12.8,0.0
2023-04-04,72.2,12.8,0.0
2023-04-05,54.5,12.9,0.0
2023-04-06,78.4,12.9,3.0
2023-04-07,52.5,12.9,0.0
2023-04-08,50.8,13.0,0.0
2023-04-09,49.9,13.0,0.0
2023-04-10,61.9,13.1,0.0
2023-04-11,67.6,13.1,0.0
2023-04-12,77.4,13.2,0.0
2023-04-13,86.5,13.2,0.0
2023-04-14,89.2,13.3,0.0
2023-04-15,75.2,13.3,3.0
2023-04-16,71.4,13.3,0.0
2023-04-17,63.1,13.4,0.0
2023-04-18,46.8,13.4,0.0
2023-04-19,56.5,13.5,0.0
2023-04-20,65.0,13.5,0.0
2023-04-21,67.4,13.6,0.0
2023-04-22,69.1,13.6,3.0
2023-04-23,62.9,13.6,12.0
2023-04-24,58.9,13.7,0.0
2023-04-25,57.0,13.7,0.0
2023-04-26,54.6,13.8,0.0
2023-04-27,53.0,13.8,0.0
2023-04-28,51.4,13.8,6.0
2023-04-29,47.6,13.9,24.0
2023-04-30,60.4,13.9,15.0
2023-05-01,58.9,14.0,6.0
2023-05-02,47.4,14.0,0.0
2023-05-03,50.9,14.0,0.0
2023-05-04,53.1,14.1,3.0
2023-05-05,60.2,14.1,0.0
2023-05-06,71.1,14.1,0.0
2023-05-07,75.5,14.2,0.0
2023-05-08,74.6,14.2,0.0
2023-05-09,69.4,14.3,0.0
2023-05-10,69.8,14.3,0.0
2023-05-11,78.3,14.3,0.0
2023-05-12,87.1,14.4,0.0
2023-05-13,85.3,14.4,0.0
2023-05-14,73.0,14.4,0.0
2023-05-15,70.0,14.5,0.0
2023-05-16,74.6,14.5,0.0
2023-05-17,62.1,14.5,0.0
2023-05-18,60.5,14.5,0.0
2023-05-19,66.5,14.6,0.0
2023-05-20,67.7,14.6,12.0
2023-05-21,69.1,14.6,0.0
2023-05-22,77.5,14.7,0.0
2023-05-23,73.9,14.7,0.0
2023-05-24,79.8,14.7,3.0
2023-05-25,63.4,14.7,0.0
2023-05-26,69.4,14.8,0.0
2023-05-27,78.8,14.8,0.0
2023-05-28,79.0,14.8,0.0
2023-05-29,77.7,14.8,0.0
2023-05-30,72.2,14.9,0.0
2023-05-31,76.4,14.9,0.0
2023-06-01,89.9,14.9,0.0
2023-06-02,95.1,14.9,3.0
2023-06-03,68.9,14.9,0.0
2023-06-04,63.8,15.0,0.0
2023-06-05,73.5,15.0,0.0
2023-06-06,77.5,15.0,0.0
2023-06-07,69.0,15.0,0.0
2023-06-08,70.7,15.0,0.0
2023-06-09,68.8,15.0,3.0
2023-06-10,74.7,15.0,0.0
2023-06-11,84.6,15.1,0.0
2023-06-12,81.9,15.1,3.0
2023-06-13,79.0,15.1,0.0
2023-06-14,77.4,15.1,6.0
2023-06-15,76.8,15.1,0.0
2023-06-16,82.0,15.1,3.0
2023-06-17,75.3,15.1,0.0
2023-06-18,81.7,15.1,0.0
2023-06-19,84.1,15.1,0.0
2023-06-20,79.8,15.1,0.0
2023-06-21,71.0,15.1,0.0
2023-06-22,68.8,15.1,0.0
2023-06-23,74.1,15.1,3.0
2023-06-24,83.7,15.1,6.0
2023-06-25,94.2,15.1,0.0
2023-06-26,88.0,15.1,3.0
2023-06-27,82.9,15.1,3.0
2023-06-28,85.1,15.1,0.0
2023-06-29,87.3,15.1,0.0
2023-06-30,88.8,15.1,0.0
2023-07-01,86.6,15.0,0.0
2023-07-02,94.4,15.0,0.0
2023-07-03,99.3,15.0,0.0
2023-07-04,95.9,15.0,3.0
2023-07-05,101.2,15.0,0.0
2023-07-06,97.5,15.0,0.0
2023-07-07,97.0,15.0,0.0
