Date,property_crimes,violent_crimes,public_order_crimes,total_crimes,ADMINISTRATIVE CODE,AGRICULTURE & MRKTS LAW-UNCLASSIFIED,ALCOHOLIC BEVERAGE CONTROL LAW,ANTICIPATORY OFFENSES,ARSON,ASSAULT 3 & RELATED OFFENSES,BURGLAR'S TOOLS,BURGLARY,CANNABIS RELATED OFFENSES,CHILD ABANDONMENT/NON SUPPORT,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL TRESPASS,DANGEROUS DRUGS,DANGEROUS WEAPONS,DISORDERLY CONDUCT,ENDAN WELFARE INCOMP,ESCAPE 3,FELONY ASSAULT,FELONY SEX CRIMES,FORGERY,FORTUNE TELLING,FRAUDS,FRAUDULENT ACCOSTING,GAMBLING,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,HARRASSMENT 2,"HOMICIDE-NEGLIGENT,UNCLASSIFIE",HOMICIDE-NEGLIGENT-VEHICLE,INTOXICATED & IMPAIRED DRIVING,INTOXICATED/IMPAIRED DRIVING,JOSTLING,KIDNAPPING,KIDNAPPING & RELATED OFFENSES,MISCELLANEOUS PENAL LAW,MURDER & NON-NEGL. MANSLAUGHTER,NEW YORK CITY HEALTH CODE,NYS LAWS-UNCLASSIFIED FELONY,NYS LAWS-UNCLASSIFIED VIOLATION,OFF. AGNST PUB ORD SENSBLTY &,OFFENSES AGAINST PUBLIC ADMINI,OFFENSES AGAINST PUBLIC SAFETY,OFFENSES AGAINST THE PERSON,OFFENSES INVOLVING FRAUD,OFFENSES RELATED TO CHILDREN,OTHER OFFENSES RELATED TO THEF,OTHER OFFENSES RELATED TO THEFT,OTHER STATE LAWS,OTHER STATE LAWS (NON PENAL LA,OTHER STATE LAWS (NON PENAL LAW),PETIT LARCENY,PETIT LARCENY OF MOTOR VEHICLE,POSSESSION OF STOLEN PROPERTY,PROSTITUTION & RELATED OFFENSES,RAPE,ROBBERY,SEX CRIMES,THEFT OF SERVICES,THEFT-FRAUD,UNAUTHORIZED USE OF A VEHICLE,UNLAWFUL POSS. WEAP. ON SCHOOL,VEHICLE AND TRAFFIC LAWS
2023-01-01,200,108,103,411,0,0,0,0,0,57,0,18,0,0,35,2,2,2,0,0,0,28,0,3,0,5,0,1,59,3,53,0,0,6,0,0,0,0,6,0,0,0,0,12,6,0,1,1,0,1,0,1,6,0,68,0,1,1,2,11,7,0,6,0,0,7
2023-01-02,200,55,72,327,0,0,0,0,0,28,0,15,0,0,24,2,5,5,0,0,0,7,0,5,0,2,0,0,47,4,37,0,0,1,0,0,0,0,7,0,0,3,0,4,3,0,0,1,0,0,0,0,1,0,95,0,3,0,0,11,4,0,3,0,0,10
2023-01-03,168,72,103,343,2,0,0,0,0,27,0,16,1,1,20,0,16,2,0,0,0,17,1,2,0,3,0,0,33,8,43,0,0,1,0,0,0,1,5,0,0,1,0,9,5,0,0,3,0,2,0,0,1,0,80,0,0,0,0,18,7,0,4,2,0,11
2023-01-04,192,64,125,381,1,0,0,0,0,25,2,10,0,0,26,0,28,8,0,0,0,15,0,4,0,1,1,0,37,6,56,0,0,1,0,0,0,0,5,0,0,0,0,16,6,0,1,2,0,2,0,0,0,0,97,0,3,0,0,9,6,1,4,1,0,7
2023-01-05,210,58,121,389,2,0,0,0,0,24,0,14,0,0,29,1,16,8,0,0,0,10,0,12,0,1,0,0,44,2,55,0,0,1,0,0,0,0,2,1,0,4,0,12,8,0,2,8,0,0,0,1,0,0,103,0,2,0,0,9,4,0,0,2,0,12
2023-01-06,204,62,101,367,0,0,0,0,0,27,0,14,0,0,22,3,14,5,0,0,0,16,0,8,0,3,1,0,62,6,59,0,0,1,0,0,0,0,5,0,0,1,0,5,3,0,0,6,0,0,0,0,0,0,83,0,2,0,0,11,3,0,1,0,0,6
2023-01-07,179,70,95,344,0,0,0,0,0,32,0,11,0,0,30,2,11,3,0,0,0,16,0,4,0,5,1,0,39,4,46,0,0,2,0,0,0,0,7,0,0,1,0,5,5,0,2,6,0,2,0,0,0,0,83,0,0,0,1,13,3,0,0,1,0,9
2023-01-08,161,77,69,307,0,0,0,0,2,32,0,7,0,0,27,1,0,3,0,0,0,18,0,3,0,1,0,0,36,4,36,0,0,0,0,0,0,0,6,0,0,1,0,5,6,0,3,4,0,1,0,0,0,0,79,0,0,0,0,16,5,0,0,1,0,10
2023-01-09,173,48,80,301,1,0,0,0,2,22,1,7,0,0,23,1,11,3,0,1,0,7,0,6,0,0,0,0,38,4,40,0,0,0,0,0,0,0,4,0,0,0,0,5,8,0,0,3,0,0,0,0,0,0,85,0,0,0,0,10,6,0,5,1,0,7
2023-01-10,204,63,111,378,0,0,0,0,1,28,3,5,0,0,22,4,16,5,0,0,0,12,0,6,0,3,0,0,45,6,50,0,0,0,0,0,0,0,7,0,0,5,0,13,2,0,2,4,0,1,0,2,0,0,106,0,0,0,0,12,4,2,1,0,0,11
